year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0,F = 0
3,2,0,F = 0.18
4,1,0,F = 0
4,2,0,F = 0.18
5,1,0,F = 0
5,2,0,F = 0.18
6,1,0.05,F = 0
6,2,0,F = 0.18
7,1,0.05,F = 0
7,2,0,F = 0.18
8,1,0.1,F = 0
8,2,0,F = 0.18
9,1,0,F = 0
9,2,0,F = 0.18
10,1,0.15,F = 0
10,2,0,F = 0.18
11,1,0.5,F = 0
11,2,0,F = 0.18
12,1,0.75,F = 0
12,2,0,F = 0.18
13,1,1,F = 0
13,2,0,F = 0.18
14,1,1.0999999999999999,F = 0
14,2,0,F = 0.18
15,1,1.25,F = 0
15,2,0,F = 0.18
16,1,1.0999999999999999,F = 0
16,2,0,F = 0.18
17,1,1.3,F = 0
17,2,0,F = 0.18
18,1,1.8499999999999999,F = 0
18,2,0,F = 0.18
19,1,2,F = 0
19,2,0,F = 0.18
20,1,2,F = 0
20,2,0,F = 0.18
21,1,2.1999999999999997,F = 0
21,2,0,F = 0.18
22,1,2.1999999999999997,F = 0
22,2,0,F = 0.18
23,1,2.5,F = 0
23,2,0,F = 0.18
24,1,2.35,F = 0
24,2,0,F = 0.18
25,1,1.9,F = 0
25,2,0,F = 0.18
26,1,1.95,F = 0
26,2,0,F = 0.18
27,1,1.8499999999999999,F = 0
27,2,0,F = 0.18
28,1,2.1999999999999997,F = 0
28,2,0,F = 0.18
29,1,2.55,F = 0
29,2,0,F = 0.18
30,1,2.9000000000000004,F = 0
30,2,0,F = 0.18
31,1,2.45,F = 0
31,2,0,F = 0.18
32,1,3.05,F = 0
32,2,0,F = 0.18
33,1,3,F = 0
33,2,0,F = 0.18
34,1,2.9499999999999997,F = 0
34,2,0,F = 0.18
35,1,2.6,F = 0
35,2,0,F = 0.18
36,1,2.45,F = 0
36,2,0,F = 0.18
37,1,2.55,F = 0
37,2,0,F = 0.18
38,1,2.9000000000000004,F = 0
38,2,0,F = 0.18
39,1,2.7,F = 0
39,2,0,F = 0.18
40,1,2.45,F = 0
40,2,0,F = 0.18
41,1,2.35,F = 0
41,2,0,F = 0.18
42,1,2.4,F = 0
42,2,0,F = 0.18
43,1,2,F = 0
43,2,0,F = 0.18
44,1,2.35,F = 0
44,2,0,F = 0.18
45,1,2.35,F = 0
45,2,0,F = 0.18
46,1,2.45,F = 0
46,2,0,F = 0.18
47,1,2.8000000000000003,F = 0
47,2,0,F = 0.18
48,1,2.4,F = 0
48,2,0,F = 0.18
49,1,3.05,F = 0
49,2,0,F = 0.18
50,1,2.8000000000000003,F = 0
50,2,0,F = 0.18
51,1,2.75,F = 0
51,2,0,F = 0.18
52,1,2.7,F = 0
52,2,0,F = 0.18
53,1,2.4,F = 0
53,2,0,F = 0.18
54,1,2.65,F = 0
54,2,0,F = 0.18
55,1,2.85,F = 0
55,2,0,F = 0.18
56,1,2.65,F = 0
56,2,0,F = 0.18
57,1,1.95,F = 0
57,2,0,F = 0.18
58,1,2.1999999999999997,F = 0
58,2,0,F = 0.18
59,1,2.1999999999999997,F = 0
59,2,0,F = 0.18
60,1,2.1,F = 0
60,2,0,F = 0.18
61,1,2.25,F = 0
61,2,0,F = 0.18
62,1,2.4,F = 0
62,2,0,F = 0.18
63,1,2.3,F = 0
63,2,0,F = 0.18
64,1,2.3,F = 0
64,2,0,F = 0.18
65,1,2.6,F = 0
65,2,0,F = 0.18
66,1,3,F = 0
66,2,0,F = 0.18
67,1,2.85,F = 0
67,2,0,F = 0.18
68,1,2.45,F = 0
68,2,0,F = 0.18
69,1,2.55,F = 0
69,2,0,F = 0.18
70,1,2.25,F = 0
70,2,0,F = 0.18
71,1,2.45,F = 0
71,2,0,F = 0.18
72,1,2.65,F = 0
72,2,0,F = 0.18
73,1,2.75,F = 0
73,2,0,F = 0.18
74,1,2.75,F = 0
74,2,0,F = 0.18
75,1,0,F = 0
75,2,0,F = 0.18
